,window,level_1,0
12114,68,10,10
12115,68,11,17
12116,68,12,11
12119,68,15,12
12120,68,16,13
12121,68,17,14
12122,68,18,15
12123,68,19,16
12125,68,21,18
12126,68,22,19
12127,68,23,20
12282,69,0,1
12283,69,1,2
12284,69,2,3
12285,69,3,4
12286,69,4,5
12287,69,5,7
12288,69,6,6
12290,69,8,8
12291,69,9,9
12292,69,10,10
12293,69,11,17
12294,69,12,11
12297,69,15,13
12298,69,16,12
12299,69,17,14
12300,69,18,15
12301,69,19,16
12303,69,21,18
12304,69,22,20
12306,69,24,19
12460,70,0,1
12461,70,1,2
12462,70,2,3
12463,70,3,4
12464,70,4,5
12465,70,5,7
12466,70,6,6
12468,70,8,8
12469,70,9,9
12470,70,10,10
12471,70,11,17
12472,70,12,11
12475,70,15,13
12476,70,16,12
12477,70,17,14
12478,70,18,15
12479,70,19,16
12481,70,21,18
12482,70,22,20
12484,70,24,19
12638,71,0,1
12639,71,1,2
12640,71,2,3
12641,71,3,4
12642,71,4,5
12643,71,5,7
12644,71,6,6
12646,71,8,8
12647,71,9,9
12648,71,10,10
12649,71,11,17
12650,71,12,11
12653,71,15,13
12654,71,16,12
12655,71,17,14
12656,71,18,15
12657,71,19,16
12659,71,21,18
12660,71,22,20
12662,71,24,19
12816,72,0,1
12817,72,1,2
12818,72,2,3
12819,72,3,4
12820,72,4,5
12821,72,5,7
12822,72,6,6
12824,72,8,8
12825,72,9,9
12826,72,10,10
12827,72,11,17
12828,72,12,11
12831,72,15,13
12832,72,16,12
12833,72,17,14
12834,72,18,15
12835,72,19,16
12837,72,21,18
12838,72,22,20
12840,72,24,19
12994,73,0,1
12995,73,1,2
12996,73,2,3
12997,73,3,4
12998,73,4,5
12999,73,5,7
13000,73,6,6
13002,73,8,8
13003,73,9,9
13004,73,10,10
13005,73,11,17
13006,73,12,11
13009,73,15,13
13010,73,16,12
13011,73,17,14
13012,73,18,15
13013,73,19,16
13015,73,21,18
13016,73,22,20
13018,73,24,19
13172,74,0,1
13173,74,1,2
13174,74,2,3
13175,74,3,4
13176,74,4,5
13177,74,5,7
13178,74,6,6
13180,74,8,8
13181,74,9,9
13182,74,10,10
13183,74,11,17
13184,74,12,11
13187,74,15,13
13188,74,16,12
13189,74,17,14
13190,74,18,15
13191,74,19,16
13193,74,21,18
13194,74,22,20
13196,74,24,19
13350,75,0,1
13351,75,1,2
13352,75,2,3
13353,75,3,4
13354,75,4,5
13355,75,5,7
13356,75,6,6
13358,75,8,8
13359,75,9,9
13360,75,10,10
13361,75,11,17
13362,75,12,11
13365,75,15,13
13366,75,16,12
13367,75,17,14
13368,75,18,15
13369,75,19,16
13371,75,21,18
13372,75,22,20
13374,75,24,19
13528,76,0,1
13529,76,1,2
13530,76,2,3
13531,76,3,4
13532,76,4,5
13533,76,5,7
13534,76,6,6
13536,76,8,8
13537,76,9,9
13538,76,10,10
13539,76,11,17
13540,76,12,11
13543,76,15,13
13544,76,16,12
13545,76,17,14
13546,76,18,15
13547,76,19,16
13549,76,21,18
13550,76,22,20
13552,76,24,19
13706,77,0,1
13707,77,1,2
13708,77,2,3
13709,77,3,4
13710,77,4,5
13711,77,5,7
13712,77,6,6
13714,77,8,8
13715,77,9,9
13716,77,10,10
13717,77,11,17
13718,77,12,11
13721,77,15,13
13722,77,16,12
13723,77,17,14
13724,77,18,15
13725,77,19,16
13727,77,21,18
13728,77,22,20
13730,77,24,19
13884,78,0,1
13885,78,1,2
13886,78,2,3
13887,78,3,4
